gap_id,Krankenkasse,contribution_period,missing_link,why_missing,documents_needed,search_keywords,suggested_folder
GAP-0019,AOK,2024-07,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0020,AOK,2024-08,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0021,AOK,2024-08,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0022,AOK,2024-08,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0023,AOK,2024-09,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0024,AOK,2024-09,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0025,AOK,2024-10,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0026,AOK,2024-10,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0027,AOK,2024-10,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0028,AOK,2024-11,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0029,AOK,2024-11,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0030,AOK,2024-12,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0031,AOK,2024-12,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0032,AOK,2025-01,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0033,AOK,2025-01,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0034,AOK,2025-02,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0035,AOK,2025-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0036,AOK,2025-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0037,AOK,2025-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0038,AOK,2025-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0039,AOK,2025-04,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0040,AOK,2025-04,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0041,AOK,2025-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0042,AOK,2025-05,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0043,AOK,2025-05,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0044,AOK,2025-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Ratenzahlung Mahnung 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0045,AOK,2025-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0046,AOK,2025-06,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0047,AOK,2025-06,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0048,AOK,2025-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0049,AOK,2025-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Ratenzahlung Mahnung 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0050,AOK,2025-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0051,AOK Baden-Wuerttemberg,2024-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Baden-Wuerttemberg 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0052,AOK Baden-Wuerttemberg,2024-05,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Baden-Wuerttemberg 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0053,AOK Baden-Wuerttemberg,2024-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Baden-Wuerttemberg Ratenzahlung Mahnung 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0054,AOK Baden-Wuerttemberg,2024-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Baden-Wuerttemberg 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0055,AOK Bayern,2024-07,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Bayern 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0056,AOK Bayern,2024-07,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Bayern Ratenzahlung Mahnung 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0057,AOK Bayern,2024-07,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Bayern 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0058,AOK Bayern,2024-08,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Bayern 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0059,AOK Bayern,2024-08,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Bayern Ratenzahlung Mahnung 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0060,AOK Bayern,2024-08,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Bayern 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0061,AOK Bayern,2024-09,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Bayern 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0062,AOK Bayern,2024-09,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Bayern Ratenzahlung Mahnung 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0063,AOK Bayern,2024-09,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Bayern 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0064,AOK Hessen,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0065,AOK Hessen,2024-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0066,AOK Hessen,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0067,AOK Hessen,2024-07,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0068,AOK Hessen,2024-07,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0069,AOK Hessen,2024-07,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0070,AOK Hessen,2024-08,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0071,AOK Hessen,2024-08,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0072,AOK Hessen,2024-08,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0073,AOK Hessen,2024-09,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0074,AOK Hessen,2024-09,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0075,AOK Hessen,2024-10,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0076,AOK Hessen,2024-10,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0077,AOK Hessen,2024-10,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0078,AOK Hessen,2024-11,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0079,AOK Hessen,2024-11,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0080,AOK Hessen,2024-11,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0081,AOK Hessen,2024-12,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0082,AOK Hessen,2024-12,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0083,AOK Hessen,2024-12,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0084,AOK Hessen,2025-01,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0085,AOK Hessen,2025-01,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0086,AOK Hessen,2025-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0087,AOK Hessen,2025-02,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0088,AOK Hessen,2025-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0089,AOK Hessen,2025-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Hessen 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0090,AOK Hessen,2025-03,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Hessen 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0091,AOK Hessen,2025-03,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0092,AOK Hessen,2025-03,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0093,AOK Hessen,2025-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0094,AOK Hessen,2025-04,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Hessen 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0095,AOK Hessen,2025-04,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Hessen Ratenzahlung Mahnung 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0096,AOK Hessen,2025-04,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Hessen 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0097,AOK PLUS,2024-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK PLUS 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0098,AOK PLUS,2024-05,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK PLUS 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0099,AOK PLUS,2024-05,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0100,AOK PLUS,2024-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0101,AOK PLUS,2024-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0102,AOK PLUS,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0103,AOK PLUS,2024-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
