gap_id,month,category,gap_type,candidate_file,candidate_path,candidate_document_type,matched_keywords,matched_text_snippet,candidate_reason,confidence,recommended_action
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/# 2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/audit2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-003,2024-01,operating cost,MISSING_STRICT_DUE_PAID_UNPAID,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; fahrzeug; miete; rechnung; versicherung," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/# 2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/audit2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-004,2024-01,Enrico,MISSING_ENRICO_EVIDENCE,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; abrechnung; enrico; gutschrift; weissflog," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen/Lohnauswertungen.pdf,Payroll,02.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal, 20.02.2024 Kranken-/Verletztengeld bei Pflege eines 21.08.2024 31.08.2024 Unbezahlter Urlaub 16.09.2024 16.09.2024 Unbezahlter Urlaub 17.09.2024 21.09.2024 Kranken-/Verletztengeld bei Pflege eines ,month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen.pdf,Payroll,02.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal, 20.02.2024 Kranken-/Verletztengeld bei Pflege eines 21.08.2024 31.08.2024 Unbezahlter Urlaub 16.09.2024 16.09.2024 Unbezahlter Urlaub 17.09.2024 21.09.2024 Kranken-/Verletztengeld bei Pflege eines ,month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen__copy19.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen__copy19.pdf,Payroll,02.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal, 20.02.2024 Kranken-/Verletztengeld bei Pflege eines 21.08.2024 31.08.2024 Unbezahlter Urlaub 16.09.2024 16.09.2024 Unbezahlter Urlaub 17.09.2024 21.09.2024 Kranken-/Verletztengeld bei Pflege eines ,month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen__copy37.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen__copy37.pdf,Payroll,02.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal, 20.02.2024 Kranken-/Verletztengeld bei Pflege eines 21.08.2024 31.08.2024 Unbezahlter Urlaub 16.09.2024 16.09.2024 Unbezahlter Urlaub 17.09.2024 21.09.2024 Kranken-/Verletztengeld bei Pflege eines ,month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Entgeltbescheinigungen 02-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 02-2024.pdf,Health Insurance,02-2024; 02.2024; 02/2024; entgeltbescheinigung; februar 2024; lohn; lohnabrechnung,Entgeltbescheinigungen 02-2024.pdf 00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 02-2024.pdf 659798 Martin Zahariev ,month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-005,2024-02,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen(3)/Lohnauswertungen.pdf,Payroll,02.2024; 02/2024; februar 2024; lohn; lohnabrechnung; lohnauswertung, Martin Zahariev 302 15.02.2024 10001 Usti Nad Labem 27 1 ,month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-006,2024-02,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/# 2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,02-2024; 02.2024; 02/2024; 202402; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," MREF+139717 CRED+DE07ZZZ00000843064 SVWZ+Stahlgruber GmbH//Chemnitz/DE 02-02-2024T16:17:58 Folgenr. 01 Verfalld. 1227 STAHLGRUBER GMBH CHEMNITZ; BIC: COBADEFFXXX; IBAN: DE31 7004 0041 0217 5008 00 -1.507,39 Tagessumme: EUR Auszug/Blatt: 25",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-006,2024-02,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/audit2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,02-2024; 02.2024; 02/2024; 202402; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," MREF+139717 CRED+DE07ZZZ00000843064 SVWZ+Stahlgruber GmbH//Chemnitz/DE 02-02-2024T16:17:58 Folgenr. 01 Verfalld. 1227 STAHLGRUBER GMBH CHEMNITZ; BIC: COBADEFFXXX; IBAN: DE31 7004 0041 0217 5008 00 -1.507,39 Tagessumme: EUR Auszug/Blatt: 25",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-006,2024-02,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,02-2024; 02.2024; 02/2024; 202402; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," MREF+139717 CRED+DE07ZZZ00000843064 SVWZ+Stahlgruber GmbH//Chemnitz/DE 02-02-2024T16:17:58 Folgenr. 01 Verfalld. 1227 STAHLGRUBER GMBH CHEMNITZ; BIC: COBADEFFXXX; IBAN: DE31 7004 0041 0217 5008 00 -1.507,39 Tagessumme: EUR Auszug/Blatt: 25",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-006,2024-02,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,02-2024; 02.2024; 02/2024; 202402; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," MREF+139717 CRED+DE07ZZZ00000843064 SVWZ+Stahlgruber GmbH//Chemnitz/DE 02-02-2024T16:17:58 Folgenr. 01 Verfalld. 1227 STAHLGRUBER GMBH CHEMNITZ; BIC: COBADEFFXXX; IBAN: DE31 7004 0041 0217 5008 00 -1.507,39 Tagessumme: EUR Auszug/Blatt: 25",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-006,2024-02,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy3.pdf,Health Insurance,02-2024; 02.2024; 02/2024; 202402; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," MREF+139717 CRED+DE07ZZZ00000843064 SVWZ+Stahlgruber GmbH//Chemnitz/DE 02-02-2024T16:17:58 Folgenr. 01 Verfalld. 1227 STAHLGRUBER GMBH CHEMNITZ; BIC: COBADEFFXXX; IBAN: DE31 7004 0041 0217 5008 00 -1.507,39 Tagessumme: EUR Auszug/Blatt: 25",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
