category,month,reason,required_document_type,candidate_exists_but_not_applied,manual_review_needed,new_documents_needed,search_instructions,suggested_folder
health insurance,2024-02,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; Februar 2024; 02.2024; 2024-02,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
health insurance,2024-03,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; M?rz 2024; 03.2024; 2024-03,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
health insurance,2024-04,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; April 2024; 04.2024; 2024-04,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
health insurance,2024-05,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; Mai 2024; 05.2024; 2024-05,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
health insurance,2025-03,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; M?rz 2025; 03.2025; 2025-03,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
operating cost,2024-01,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Januar 2024; 01.2024; 2024-01,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-02,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Februar 2024; 02.2024; 2024-02,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-03,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; M?rz 2024; 03.2024; 2024-03,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-04,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; April 2024; 04.2024; 2024-04,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-05,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Mai 2024; 05.2024; 2024-05,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-06,No strict included operating cost due/paid/unpaid rows exist for this month.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",UNKNOWN,NO,YES,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Juni 2024; 06.2024; 2024-06,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-07,No strict included operating cost due/paid/unpaid rows exist for this month.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",UNKNOWN,NO,YES,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Juli 2024; 07.2024; 2024-07,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-08,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; August 2024; 08.2024; 2024-08,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-09,No strict included operating cost due/paid/unpaid rows exist for this month.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",UNKNOWN,NO,YES,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; September 2024; 09.2024; 2024-09,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-10,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Oktober 2024; 10.2024; 2024-10,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-11,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; November 2024; 11.2024; 2024-11,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2024-12,No strict included operating cost due/paid/unpaid rows exist for this month.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",UNKNOWN,NO,YES,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Dezember 2024; 12.2024; 2024-12,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-01,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Januar 2025; 01.2025; 2025-01,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-02,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Februar 2025; 02.2025; 2025-02,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-03,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; M?rz 2025; 03.2025; 2025-03,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-04,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; April 2025; 04.2025; 2025-04,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-05,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Mai 2025; 05.2025; 2025-05,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
operating cost,2025-06,No strict included operating cost due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Operating cost invoice/payment/open-item proof with explicit due, paid, or unpaid status",YES,YES,NO,Tank; Diesel; Kraftstoff; Fahrzeug; Reparatur; Leasing; Versicherung; Miete; Telefon; Buchhaltung; Steuerberatung; Scanner; Rechnung; bezahlt; offen; f?llig; Juni 2025; 06.2025; 2025-06,00_INBOX - ??????? - Eingang/Accounting_Organized/08_Operating_Costs
payroll,2024-04,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; April 2024; 04.2024; 2024-04,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2024-05,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; Mai 2024; 05.2024; 2024-05,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2024-06,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; Juni 2024; 06.2024; 2024-06,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2024-09,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; September 2024; 09.2024; 2024-09,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2024-11,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; November 2024; 11.2024; 2024-11,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2024-12,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; Dezember 2024; 12.2024; 2024-12,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2025-01,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; Januar 2025; 01.2025; 2025-01,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2025-02,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; Februar 2025; 02.2025; 2025-02,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
payroll,2025-03,No strict included PAYROLL_BRUTTO or PAYROLL_NETTO rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Monthly Lohnauswertung/Lohnjournal with explicit Brutto and Netto totals,YES,YES,NO,Lohnauswertung; Lohnjournal; Brutto Netto; Brutto_Netto; Entgeltabrechnung; Gehaltsabrechnung; payroll; Lohnabrechnung; M?rz 2025; 03.2025; 2025-03,00_INBOX - ??????? - Eingang/Accounting_Organized/02_Payroll
tax,2024-03,No strict included tax due/paid/unpaid rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Tax notice or tax payment confirmation with creditor, tax type, period, and due/paid/unpaid amount",YES,YES,NO,Finanzamt; Umsatzsteuer; UStVA; Lohnsteuer; Einkommensteuer; Gewerbesteuer; Stadt Chemnitz; Steuerbescheid; Vorauszahlung; f?llig; Zahlung; M?rz 2024; 03.2024; 2024-03,00_INBOX - ??????? - Eingang/Accounting_Organized/05_Taxes
